廠商\政黨,中國國民黨,民主進步黨,時代力量,無黨及其他
188商行,0.0,0.0,0.0,0.0
1號木桿美容企業社,0.0,0.0,0.0,0.0
一亨營造有限公司,100000.0,0.0,0.0,0.0
一億工商廣告事業有限公司,0.0,0.0,0.0,0.0
一億紡織股份有限公司,10000.0,0.0,0.0,0.0
一功營造股份有限公司,0.0,0.0,0.0,0.0
一加一家飾百貨股份有限公司,0.0,0.0,0.0,0.0
一協榮(股)公司,0.0,0.0,0.0,0.0
一協榮股份有限,0.0,0.0,0.0,0.0
一協榮股份有限公司,300000.0,30000.0,0.0,0.0
一原金屬工業股份有限公司,100000.0,0.0,0.0,0.0
一原金屬工業股公司,0.0,0.0,0.0,0.0
一友交通企業有限公司,0.0,0.0,0.0,0.0
一吉營造(股)公司,0.0,0.0,0.0,0.0
一吉營造股份有限公司,0.0,0.0,0.0,0.0
一同機械工業股份有限公司,0.0,0.0,0.0,0.0
一品建材股份有限公司,0.0,0.0,0.0,0.0
一安藥局,0.0,50000.0,0.0,0.0
一川鐵捲門行,0.0,0.0,0.0,0.0
一成國際工程有限公司,0.0,0.0,0.0,0.0
一榮投資股份有限公司,0.0,0.0,0.0,0.0
一欣裝潢廣告工程有限公司,0.0,0.0,0.0,0.0
一正工業股份有限公司,0.0,0.0,0.0,0.0
一汁獨秀有限公司,0.0,10000.0,0.0,0.0
一申國際股份有限公司,0.0,0.0,0.0,0.0
一畝園食品有限公司,0.0,0.0,0.0,0.0
一盛保麗龍股份有限公司,0.0,0.0,0.0,0.0
一綱企業有限公司,0.0,0.0,0.0,0.0
一興開發股份有限公司,0.0,0.0,0.0,0.0
一號木桿美容企業社,0.0,0.0,0.0,0.0
一誠纖維股份有限公司,0.0,20000.0,0.0,0.0
一路發冷氣有限公司,0.0,0.0,0.0,0.0
一路順交通有限公司,0.0,0.0,0.0,0.0
一進水電工程行,0.0,0.0,0.0,0.0
一隆工業股份有限公司,0.0,0.0,0.0,0.0
一鴻投資有限公司,0.0,100000.0,0.0,0.0
一點通網路股份有限公司,0.0,0.0,0.0,0.0
丁守企業股份有限公司,0.0,150000.0,0.0,0.0
七和冷凍企業股份有限公司,0.0,0.0,0.0,0.0
七洋空油壓工業股份有限公司,0.0,0.0,0.0,0.0
七熹股份有限公司,0.0,0.0,0.0,0.0
七王通運股份有限公司,0.0,0.0,0.0,0.0
三久建材工業股份有限公司,0.0,150000.0,0.0,0.0
三九企業有限公司,0.0,0.0,0.0,0.0
三位一體數位科技股份有限公司,0.0,0.0,0.0,0.0
三佰碼開發股份有限公司,0.0,0.0,0.0,0.0
三佶有限公司,0.0,10000.0,0.0,0.0
三信不動產有限公司,0.0,200000.0,0.0,0.0
三信廣告工程有限公司,0.0,0.0,0.0,0.0
三共運輸股份有限公司,0.0,0.0,0.0,0.0
三力建設股份有限公司,0.0,0.0,0.0,0.0
三力環保建材有限公司,0.0,0.0,0.0,0.0
三劼精機股份有限公司,0.0,0.0,0.0,0.0
三升農機科技股份有限公司,0.0,0.0,0.0,0.0
三協工業有限公司,0.0,0.0,0.0,0.0
三協雕刻廠股份有限公司,0.0,0.0,0.0,0.0
三友璟工業有限公司,10000.0,10000.0,0.0,0.0
三友陶瓷股份有限公司,0.0,0.0,0.0,0.0
三叔公食品有限公司,0.0,0.0,0.0,0.0
三可國際股份有限公司,100000.0,0.0,0.0,0.0
三合房屋企業社,100000.0,0.0,0.0,0.0
三合技術工程有限公司,0.0,0.0,0.0,0.0
三合美食品股份有限公司,0.0,20000.0,0.0,0.0
三合豐有限公司,0.0,0.0,0.0,0.0
三和報關有限公司,0.0,0.0,0.0,0.0
三和耐火工業股份有限公司,0.0,0.0,0.0,0.0
三和藥局,0.0,0.0,0.0,0.0
三和鋁業有限公司,0.0,0.0,0.0,0.0
三和電訊有限公司,115481.0,0.0,0.0,0.0
三商福寶股份有限公司,0.0,0.0,0.0,0.0
三坤車體有限公司,0.0,0.0,0.0,0.0
三大有線電視股份有限公司,500000.0,0.0,0.0,0.0
三好屋股份有限公司,0.0,50000.0,0.0,0.0
三實業股份有限公司,0.0,0.0,0.0,0.0
三峰油漆廠有限公司,0.0,0.0,0.0,0.0
三峽瀝青股份有限公司,0.0,0.0,0.0,0.0
三峽鎮農會,0.0,0.0,0.0,0.0
三峽長江貿易股份有限公司,0.0,0.0,0.0,0.0
三左興業股份有限公司,0.0,0.0,0.0,0.0
三帶企業股份有限公司,0.0,0.0,0.0,0.0
三得交通有限公司,0.0,0.0,0.0,0.0
三德觀光大飯店股份有限公司,0.0,0.0,0.0,0.0
三揚貿易有限公司,0.0,0.0,0.0,0.0
三文股份有限公司,0.0,20000.0,0.0,0.0
三明瓦斯配管工程有限公司,0.0,0.0,0.0,0.0
三明電音股份有限公司,0.0,0.0,0.0,0.0
三星營造股份有限公司,0.0,200000.0,0.0,0.0
三星科技(股)公司,0.0,0.0,0.0,0.0
三星科技股份有限公司,0.0,500000.0,0.0,0.0
三智興業有限公司,0.0,0.0,0.0,0.0
三曜國際股份有限公司,100000.0,0.0,0.0,0.0
三有企業行,0.0,0.0,0.0,0.0
三朋工業股份有限公司,0.0,0.0,0.0,0.0
三朋鋼業股份有限公司,0.0,50000.0,0.0,0.0
三本工具實業股份有限公司,0.0,0.0,0.0,0.0
三本食品有限公司,60000.0,0.0,0.0,0.0
三樂飯店,0.0,0.0,0.0,0.0
三正貿易有限公司,0.0,0.0,0.0,0.0
三每有限公司,0.0,100000.0,0.0,0.0
三民營造股份有限公司,0.0,350000.0,0.0,0.0
三民眼科診所,0.0,0.0,0.0,0.0
三永盛企業有限公司,0.0,0.0,0.0,0.0
三永電熱機械股份有限公司,0.0,0.0,0.0,200000.0
三泰土木包工業,0.0,0.0,0.0,0.0
三泰管理顧問股份有限公司,0.0,0.0,0.0,0.0
三洋窯業(股),0.0,0.0,0.0,0.0
三洋窯業股份有限公司,0.0,0.0,0.0,0.0
三洋紡織纖維股份有限公司,0.0,0.0,0.0,0.0
三洋藥品工業股份有限公司,0.0,0.0,0.0,0.0
三渥有限公司,0.0,0.0,0.0,0.0
三燕兄弟能源(股)公司,0.0,0.0,0.0,0.0
三燕兄弟能源股份有限公司,0.0,10000.0,0.0,0.0
三發地產股份有限公司,150000.0,100000.0,0.0,0.0
三發製網股份有限公司,0.0,0.0,0.0,0.0
三益事業有限公司,0.0,300000.0,0.0,0.0
三省工業有限公司,0.0,0.0,0.0,0.0
三福冷凍食品股份有限公司,0.0,0.0,0.0,0.0
三禾倉儲股份有限公司,0.0,200000.0,0.0,0.0
三禾發股份有限公司,0.0,0.0,0.0,0.0
三禾貨櫃屋,0.0,0.0,0.0,0.0
三竹資訊股份有限公司,0.0,0.0,0.0,0.0
三緯塑膠實業有限公司,0.0,0.0,0.0,0.0
三義投資股份有限公司,0.0,0.0,0.0,0.0
三義鋼鐵股份有限公司,0.0,10000.0,0.0,0.0
三羽建材股份有限公司,0.0,0.0,0.0,0.0
三能股份有限公司,0.0,0.0,0.0,0.0
三興資訊(股)公司,0.0,0.0,0.0,0.0
三興資訊股份有限公司,500000.0,0.0,0.0,0.0
三興鳥園有限公司,0.0,0.0,0.0,0.0
三花工業社,0.0,150000.0,0.0,0.0
三芳印刷企業有限公司,0.0,0.0,0.0,0.0
三芳紙業有限公司,50000.0,0.0,0.0,0.0
三英鋼鐵股份有限公司,0.0,0.0,0.0,0.0
三華鋼鐵有限公司,0.0,2000.0,0.0,0.0
三葛工業股份有限公司,0.0,0.0,0.0,0.0
三趨科技股份有限公司,0.0,0.0,0.0,0.0
三通網資訊股份有限公司,0.0,0.0,0.0,0.0
三通網通訊股份有限公司,0.0,0.0,0.0,0.0
三重客運,0.0,0.0,0.0,0.0
三重汽車客運股份有限公司,0.0,0.0,0.0,0.0
三鎰水電工程有限公司,0.0,0.0,0.0,30000.0
三鎰水電工程股份有限公司,0.0,0.0,0.0,0.0
三門科技股份有限公司,915000.0,0.0,0.0,0.0
三開開發有限公司,10000.0,0.0,0.0,0.0
三陽造船廠股份有限公司,0.0,0.0,0.0,0.0
三陽造船股份有限公司,0.0,0.0,0.0,0.0
三雋建設股份有限公司,0.0,0.0,0.0,0.0
三雋營造有限公司,0.0,0.0,0.0,0.0
三順房屋仲介股份有限公司,0.0,10000.0,0.0,0.0
三順製衣股份有限公司,0.0,0.0,0.0,0.0
三鮮企業有限公司,0.0,0.0,0.0,0.0
三麥機械股份有限公司,0.0,10000.0,0.0,0.0
三點水文化創意有限公司,0.0,3000.0,0.0,0.0
三龍產業(股)公司,0.0,0.0,0.0,0.0
三龍產業股份有限公司,0.0,0.0,0.0,0.0
